District,2004,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ilam,1357,1727,1784,963,694,694,502,520,520,558
Taplejung,1711,2165,2021,1316,1755,1755,1802,1680,1410,2490
Terhathum,305,326,300,300,280,303,312,245,247.5,253
Bhojpur,146,167,179,179,187.5,222,217,188,190,157
Dhankuta,296,230,290,175,177,186,185,135,142,145
Khotang,11,210,180,300,450,600,620,400,437.5,564
Okhaldhunga,3,90,90,80,80,80,4,4,4,6
Sankhuwasabha,1040,1169,1175,949,949,1036,940,955,1108,1108
Solukhumbu,18,30,30,30,31,32,42,51,59.2,40
